ecotype_id,country,latitude,longitude,pop,nativename
2292,United States of America,42.03,-86.514,Americas,Ste-6
2294,United States of America,42.03,-86.514,Americas,Ste-9
2300,United States of America,42.03,-86.514,Americas,Ste-15
2316,United States of America,42.03,-86.514,Americas,Ste-37
2320,United States of America,43.48,-89.46,Americas,Wilcox-4
2327,United States of America,43.48,-89.46,Americas,Wilcox-16
2338,United States of America,43.48,-89.46,Americas,Wilcox-41
6744,United States of America,40.8585,-73.4675,Americas,CSHL-5
6810,United States of America,41.2816,-86.621,Americas,KNO-11
6927,United States of America,41.2816,-86.621,Americas,Kno-10
6928,United States of America,41.2816,-86.621,Americas,Kno-18
6977,Canada,49.3,-123,Americas,Van-0
6983,United States of America,37.45,-119.35,Americas,Yo-0
7033,United States of America,41.3599,-122.755,Americas,Buckhorn Pass
7477,United States of America,41.7302,-71.2825,Americas,WAR
7514,United States of America,41.5609,-86.4251,Americas,RRS-7
7515,United States of America,41.5609,-86.4251,Americas,RRS-10
7523,United States of America,42.0945,-86.3253,Americas,Pna-17
7524,United States of America,42.036,-86.511,Americas,Rmx-A02
7525,United States of America,42.036,-86.511,Americas,Rmx-A180
7526,United States of America,42.0945,-86.3253,Americas,Pna-10
7566,United States of America,42.093,-86.359,Americas,627ME-13Y1
7570,United States of America,42.093,-86.359,Americas,627ME-4MI1
7578,United States of America,42.0945,-86.3253,Americas,627PNA-1Y1
7580,United States of America,42.0945,-86.3253,Americas,627PNA-2B3
7584,United States of America,42.0945,-86.3253,Americas,627PNA-3M4
7717,United States of America,41.273,-86.625,Americas,KNO1.37
7787,United States of America,41.273,-86.625,Americas,KNO2.77
7837,United States of America,42.093,-86.359,Americas,ME3.41
7847,United States of America,42.093,-86.359,Americas,ME3.51
7867,United States of America,42.093,-86.359,Americas,ME4.20
8122,United States of America,42.036,-86.511,Americas,RMX3.11
8233,United States of America,41.1876,-87.1923,Americas,Dem-4
8534,United States of America,42.093,-86.359,Americas,328ME007
8557,United States of America,42.093,-86.359,Americas,328ME032
8608,United States of America,42.093,-86.359,Americas,11ME1.23
8610,United States of America,42.093,-86.359,Americas,11ME1.32
8612,United States of America,42.093,-86.359,Americas,11ME1.34
8616,United States of America,42.093,-86.359,Americas,11ME1.41
8617,United States of America,42.093,-86.359,Americas,11ME1.42
8619,United States of America,42.093,-86.359,Americas,11ME1.44
8629,United States of America,42.093,-86.359,Americas,11ME2.10
